UID,NID
U695557,N18720
U695557,N48524
U695557,N12320
U695557,N33242
U695557,N90966
U695557,N91879
U695557,N56850
U695557,N1713
U695557,N123489
U695557,N40009
U695557,N119862
U695557,N102132
U695557,N52473
U695557,N86231
U695557,N58220
U695557,N76785
U695557,N59936
U695557,N1960
U695557,N29362
U695557,N52547
U695557,N64035
U695557,N119717
U695557,N112949
U695557,N59836
U695557,N54753
U695557,N108832
U695557,N84433
U695557,N84423
U695557,N99521
U695557,N95066
U695557,N54322
U695557,N77605
U695557,N67369
U695557,N101119
U695557,N61804
U710497,N85722
U710497,N64341
U710497,N89798
U710497,N21689
U710497,N121023
U710497,N47587
U710497,N128965
U710497,N100405
U710497,N118949
U710497,N120141
U710497,N11048
U710497,N28129
U710497,N115522
U710497,N67397
U710497,N98773
U710497,N39416
U710497,N3266
U710497,N30828
U710497,N81231
U710497,N33177
U710497,N12139
U710497,N9375
U710497,N1845
U710497,N129128
U710497,N81184
U710497,N1128
U710497,N78955
U710497,N94639
U710497,N19193
U710497,N5305
U710497,N5163
U710497,N97713
U710497,N86322
U710497,N39011
U710497,N11663
U710497,N2141
U710497,N43360
U710497,N88553
U710497,N116768
U710497,N5106
U710497,N118038
U710497,N38061
U710497,N56559
U710497,N29941
U710497,N88593
U710497,N42209
U710497,N86580
U710497,N123623
U710497,N47118
U710497,N22336
U710497,N95100
U710497,N95560
U710497,N65275
U710497,N100233
U710497,N34016
U710497,N33102
U710497,N52842
U710497,N102369
U710497,N122029
U710497,N119800
U710497,N7529
U710497,N86711
U710497,N121394
U710497,N94456
U710497,N69535
U710497,N3290
U710497,N6008
U710497,N68982
U710497,N3435
U710497,N7391
U710497,N25670
U710497,N98277
U710497,N113050
U710497,N122358
U710497,N85167
U710497,N51964
U710497,N129987
U710497,N122218
U710497,N46954
U710497,N1220
U710497,N39822
U710497,N102285
U710497,N127530
U710497,N60423
U710497,N53923
U710497,N122561
U710497,N82348
U710497,N98405
U710497,N33121
U710497,N105757
U710497,N44134
U710497,N106237
U710497,N105213
U710497,N9892
U710497,N433
U710497,N36397
U710497,N91985
U710497,N23999
U710497,N26358
U710497,N77314
U710497,N15899
U710497,N89298
U710497,N27995
U710497,N14035
U710497,N87033
U710497,N79312
U710497,N109818
U710497,N60132
U710497,N27285
U710497,N25020
U710497,N24476
U710497,N34366
U710497,N93049
U710497,N76083
U710497,N75595
U710497,N25197
U710497,N67900
U710497,N79970
U710497,N53044
U710497,N34147
U710497,N70931
U710497,N102889
U710497,N112901
U710497,N41432
U710497,N103224
U710497,N35440
U710497,N82380
U710497,N6846
U710497,N114568
U710497,N76601
U710497,N72590
U710497,N29753
U710497,N85355
U710497,N24127
U710497,N96533
U710497,N61202
U710497,N127452
U710497,N59090
U710497,N59683
U710497,N46516
U710497,N119778
U710497,N62450
U710497,N61385
U710497,N129062
U710497,N896
U710497,N54360
U710497,N23920
U710497,N115073
U710497,N24977
U710497,N91810
U710497,N122264
U710497,N57292
U710497,N84454
U710497,N117074
U710497,N39650
U710497,N11878
U710497,N77576
U710497,N99444
U710497,N112642
U710497,N82746
U710497,N104737
U710497,N74704
U710497,N79133
U710497,N56703
U710497,N119126
U710497,N588
U710497,N16676
U710497,N54978
U710497,N71977
U710497,N587
U710497,N125439
U710497,N52677
U710497,N13872
U710497,N98095
U710497,N118346
U710497,N114571
U710497,N6696
U710497,N77920
U710497,N7252
U710497,N18548
U710497,N81921
U710497,N90645
U710497,N98250
U710497,N18282
U710497,N124339
U710497,N64641
U710497,N8399
U710497,N15332
U710497,N75220
U710497,N31290
U710497,N68745
U710497,N68097
U710497,N104558
U710497,N72084
U710497,N49295
U710497,N73222
U710497,N20011
U710497,N81364
U710497,N51701
U710497,N7452
U710497,N29766
U710497,N85100
U710497,N10874
U710497,N116812
U710497,N27311
U710497,N5668
U710497,N114343
U710497,N3734
U710497,N33242
U710497,N50176
U710497,N61869
U710497,N86388
U710497,N64824
U710497,N9651
U710497,N85278
U710497,N97212
U710497,N80669
U710497,N37526
U710497,N111339
U710497,N87456
U710497,N114232
U710497,N67369
U710497,N18681
U710497,N45790
U710497,N37338
U710497,N128484
U710497,N65304
U710497,N31055
U710497,N73902
U710497,N120612
U710497,N41083
U675541,N12959
U675541,N10263
U675541,N12492
U675541,N4702
U675541,N16894
U675541,N99587
U675541,N128643
U675541,N48971
U675541,N65806
U675541,N53611
U675541,N100271
U675541,N8642
U675541,N79511
U675541,N111913
U675541,N29315
U675541,N114369
U675541,N9740
U675541,N113326
U675541,N128965
U675541,N26935
U675541,N98596
U675541,N72485
U675541,N89166
U675541,N101775
U675541,N2232
U675541,N69363
U675541,N52771
U675541,N87465
U675541,N81382
U675541,N9375
U675541,N112324
U675541,N3006
U675541,N89989
U675541,N15471
U675541,N42594
U675541,N454
U675541,N122508
U675541,N43585
U675541,N84159
U675541,N99432
U675541,N127337
U675541,N105110
U675541,N24894
U675541,N3167
U675541,N128503
U675541,N114509
U675541,N129378
U675541,N51724
U675541,N109736
U675541,N92692
U675541,N119800
U675541,N128546
U675541,N26374
U675541,N7992
U675541,N114919
U675541,N124096
U675541,N49262
U675541,N67776
U675541,N53418
U675541,N71068
U675541,N43428
U675541,N37004
U675541,N125141
U675541,N90947
U675541,N4256
U675541,N997
U675541,N120866
U675541,N41228
U675541,N9979
U675541,N44431
U675541,N86440
U675541,N74058
U675541,N67133
U675541,N126836
U675541,N7166
U675541,N97753
U675541,N18399
U675541,N54948
U675541,N84476
U675541,N50614
U675541,N41459
U675541,N99267
U675541,N58131
U675541,N102361
U675541,N129083
U675541,N93237
U675541,N107441
U675541,N12575
U675541,N3948
U675541,N99171
U675541,N103267
U675541,N29191
U675541,N52075
U675541,N119360
U675541,N92079
U675541,N73306
U675541,N121937
U675541,N10573
U675541,N35440
U675541,N14035
U675541,N88893
U675541,N5674
U675541,N36573
U675541,N49594
U675541,N111645
U675541,N21880
U675541,N118762
U675541,N91056
U675541,N115334
U675541,N122742
U675541,N61474
U675541,N31649
U675541,N116438
U675541,N111861
U675541,N6846
U675541,N87364
U675541,N77403
U675541,N48750
U675541,N91792
U675541,N120710
U675541,N46939
U675541,N71112
U675541,N106403
U675541,N79909
U675541,N37061
U675541,N104737
U675541,N11878
U675541,N112751
U675541,N119126
U675541,N29208
U675541,N72976
U675541,N71977
U675541,N107516
U675541,N104991
U675541,N103116
U675541,N93769
U675541,N54519
U675541,N88104
U675541,N129407
U675541,N54393
U675541,N114873
U675541,N105857
U675541,N11643
U675541,N91597
U675541,N119215
U675541,N43872
U675541,N102152
U675541,N117891
U675541,N118259
U675541,N12070
U675541,N93066
U675541,N116989
U675541,N128483
U675541,N108312
U675541,N82365
U675541,N92747
U675541,N127817
U675541,N70265
U675541,N107039
U675541,N66779
U675541,N119087
U675541,N6042
U675541,N58200
U675541,N118681
U675541,N18720
U675541,N29430
U675541,N28515
U675541,N113717
U675541,N125820
U675541,N84273
U675541,N126944
U675541,N104630
U675541,N26572
U675541,N93636
U675541,N96000
U675541,N53785
U675541,N125960
U675541,N51701
U675541,N50428
U675541,N74749
U675541,N65747
U675541,N71048
U675541,N127629
U675541,N59416
U675541,N120031
U675541,N1886
U675541,N62758
U675541,N40765
U675541,N90170
U675541,N91923
U675541,N67497
U675541,N22633
U675541,N63050
U675541,N113609
U675541,N24442
U675541,N86231
U675541,N126027
U675541,N13599
U675541,N50653
U675541,N61035
U675541,N110434
U675541,N123395
U675541,N48593
U675541,N61654
U675541,N39414
U675541,N43009
U675541,N107322
U675541,N81315
U675541,N22496
U675541,N37526
U675541,N129740
U675541,N583
U675541,N112823
U675541,N9107
U675541,N11479
U675541,N12800
U675541,N28355
U675541,N82649
U675541,N126951
U675541,N111439
U675541,N94903
U675541,N65661
U675541,N75342
U675541,N14509
U675541,N92507
U675541,N113579
U675541,N21416
U675541,N3472
U675541,N50870
U675541,N31323
U675541,N59700
U675541,N95066
U675541,N84423
U675541,N110102
U675541,N108063
U675541,N87236
U675541,N26551
U355897,N35797
U355897,N98062
U355897,N18389
U355897,N47639
U355897,N48453
U355897,N30161
U355897,N120555
U355897,N117682
U355897,N90578
U355897,N84193
U355897,N90930
U355897,N81937
U355897,N31140
U355897,N50489
U355897,N8431
U355897,N60289
U355897,N59589
U355897,N4594
U355897,N119800
U355897,N47522
U355897,N5692
U355897,N13423
U355897,N71728
U355897,N21839
U355897,N116703
U355897,N67566
U355897,N47513
U355897,N76292
U355897,N15922
U355897,N108682
U355897,N19735
U355897,N16426
U355897,N56927
U355897,N77742
U355897,N66812
U355897,N102399
U355897,N30276
U355897,N122561
U355897,N34697
U355897,N128175
U355897,N43358
U355897,N122167
U355897,N60132
U355897,N105840
U355897,N84642
U355897,N66190
U355897,N463
U355897,N63490
U355897,N115167
U355897,N99171
U355897,N76083
U355897,N61802
U355897,N32890
U355897,N34479
U355897,N129836
U355897,N71935
U355897,N36652
U355897,N64858
U355897,N110560
U355897,N43418
U355897,N45083
U355897,N129624
U355897,N99348
U355897,N46763
U355897,N70516
U355897,N79283
U355897,N6846
U355897,N21250
U355897,N113173
U355897,N35413
U355897,N7229
U355897,N315
U355897,N77699
U355897,N54618
U355897,N54393
U355897,N14205
U355897,N22411
U355897,N112205
U355897,N23666
U355897,N93066
U355897,N26572
U355897,N121409
U355897,N70518
U355897,N17924
U355897,N126955
U355897,N93636
U355897,N13901
U355897,N126742
U355897,N119505
U355897,N20011
U355897,N53785
U355897,N94706
U355897,N119640
U355897,N88891
U355897,N22633
U355897,N67497
U355897,N46824
U355897,N87236
U355897,N40009
U355897,N1960
U355897,N14551
U355897,N103432
U355897,N52410
U355897,N113609
U355897,N108063
U355897,N37379
U355897,N39359
U355897,N82055
U355897,N80237
U355897,N4858
U355897,N32844
U355897,N97629
U355897,N7084
U355897,N24373
U355897,N94112
U355897,N26404
U355897,N29760
U355897,N78222
U412633,N128643
U412633,N9740
U412633,N113326
U412633,N86567
U412633,N102243
U412633,N103851
U412633,N16545
U412633,N81732
U412633,N84016
U412633,N8194
U412633,N128965
U412633,N61504
U412633,N64765
U412633,N14780
U412633,N124404
U412633,N22262
U412633,N9743
U412633,N454
U412633,N8308
U412633,N12904
U412633,N67410
U412633,N20543
U412633,N8866
U412633,N71082
U412633,N32773
U412633,N81332
U412633,N113195
U412633,N15786
U412633,N63524
U412633,N40112
U412633,N119800
U412633,N19937
U412633,N109816
U412633,N106899
U412633,N102059
U412633,N120773
U412633,N95184
U412633,N51724
U412633,N17768
U412633,N112465
U412633,N34016
U412633,N95264
U412633,N49262
U412633,N116144
U412633,N127644
U412633,N60001
U412633,N26271
U412633,N67936
U412633,N1940
U412633,N124242
U412633,N54948
U412633,N7673
U412633,N4289
U412633,N50994
U412633,N45609
U412633,N36453
U412633,N57097
U412633,N24786
U412633,N47978
U412633,N104654
U412633,N114655
U412633,N82505
U412633,N17873
U412633,N44524
U412633,N31554
U412633,N5077
U412633,N63919
U412633,N21880
U412633,N104252
U412633,N126456
U412633,N5068
U412633,N26055
U412633,N84728
U412633,N55064
U412633,N35800
U412633,N26699
U412633,N87616
U412633,N5143
U412633,N9818
U412633,N2620
U412633,N23264
U412633,N27455
U412633,N30069
U412633,N38468
U412633,N62
U412633,N107050
U412633,N76983
U412633,N21743
U412633,N42974
U412633,N13761
U412633,N104737
U412633,N88675
U412633,N119674
U412633,N86842
U412633,N22188
U412633,N83716
U412633,N10484
U412633,N122256
U412633,N95524
U412633,N74161
U412633,N6930
U412633,N127463
U412633,N127455
U412633,N13220
U412633,N86394
U412633,N2578
U412633,N22951
U412633,N119609
U412633,N112642
U412633,N63174
U412633,N57217
U412633,N108801
U412633,N114873
U412633,N18548
U412633,N71952
U412633,N567
U412633,N78289
U412633,N18904
U412633,N91392
U412633,N1886
U412633,N127629
U412633,N54893
U412633,N20192
U412633,N86231
U412633,N126027
U412633,N76785
U412633,N55498
U412633,N102132
U412633,N23550
U412633,N53650
U412633,N1960
U412633,N91923
U412633,N104494
U412633,N17787
U412633,N96343
U412633,N67174
U412633,N67497
U412633,N27861
U412633,N66756
U412633,N59936
U412633,N79547
U412633,N83977
U412633,N24851
U412633,N59836
U412633,N63476
U412633,N110434
U412633,N41709
U412633,N93348
U412633,N129212
U412633,N76350
U412633,N60510
U412633,N61812
U412633,N1490
U412633,N83062
U412633,N21416
U412633,N22660
U412633,N31323
U412633,N97020
U412633,N4858
U412633,N25145
U412633,N84423
U412633,N64235
U412633,N71726
U550765,N5054
U550765,N67127
U550765,N12721
U550765,N85484
U550765,N58034
U550765,N121023
U550765,N96605
U550765,N105862
U550765,N101775
U550765,N38249
U550765,N17137
U550765,N21475
U550765,N49511
U550765,N104609
U550765,N44759
U550765,N29153
U550765,N36446
U550765,N21671
U550765,N121168
U550765,N56777
U550765,N129378
U550765,N115701
U550765,N37469
U550765,N90686
U550765,N130288
U550765,N43428
U550765,N84959
U550765,N33936
U550765,N115671
U550765,N115343
U550765,N103347
U550765,N49839
U550765,N55460
U550765,N98680
U550765,N86141
U550765,N49668
U550765,N122561
U550765,N53897
U550765,N31678
U550765,N4289
U550765,N51031
U550765,N80126
U550765,N4057
U550765,N114926
U550765,N69936
U550765,N10766
U550765,N27112
U550765,N58843
U550765,N93049
U550765,N111181
U550765,N14600
U550765,N107441
U550765,N73616
U550765,N8866
U550765,N34479
U550765,N28799
U550765,N54177
U550765,N100063
U550765,N71665
U550765,N101271
U550765,N95529
U550765,N92079
U550765,N79285
U550765,N60001
U550765,N16690
U550765,N127487
U550765,N34016
U550765,N110836
U550765,N9892
U550765,N44781
U550765,N48804
U550765,N51893
U550765,N61712
U550765,N55064
U550765,N15375
U550765,N24342
U550765,N10342
U550765,N78719
U550765,N118005
U550765,N23264
U550765,N54360
U550765,N1742
U550765,N117295
U550765,N117074
U550765,N129084
U550765,N93543
U550765,N56489
U550765,N52044
U550765,N86761
U550765,N35056
U550765,N44826
U550765,N64336
U550765,N22951
U550765,N73845
U550765,N76099
U550765,N48926
U550765,N128483
U550765,N108312
U550765,N72548
U550765,N41702
U550765,N124158
U550765,N61396
U550765,N74723
U550765,N17297
U550765,N64141
U550765,N28461
U550765,N70959
U550765,N76018
U550765,N13994
U550765,N107555
U550765,N106110
U550765,N68097
U550765,N104558
U550765,N77135
U550765,N63717
U550765,N1713
U550765,N22543
U550765,N40765
U550765,N59416
U550765,N85166
U550765,N64035
U550765,N60544
U550765,N58220
U550765,N14551
U550765,N32840
U550765,N47967
U550765,N104060
U550765,N70868
U550765,N90388
U550765,N125910
U550765,N31494
U550765,N48674
U550765,N62001
U550765,N43001
U550765,N39359
U550765,N55261
U95005,N88868
U95005,N16417
U95005,N111794
U95005,N100571
U95005,N108284
U95005,N13178
U95005,N13833
U95005,N109598
U95005,N89799
U95005,N17258
U95005,N63225
U95005,N120885
U95005,N14491
U95005,N7970
U95005,N116367
U95005,N60556
U95005,N126249
U95005,N122358
U95005,N12650
U95005,N28720
U95005,N88134
U95005,N36062
U95005,N57900
U95005,N81982
U95005,N10231
U95005,N99202
U95005,N87351
U95005,N39882
U95005,N126611
U95005,N13604
U95005,N19735
U95005,N103058
U95005,N100377
U95005,N104105
U95005,N76292
U95005,N129987
U95005,N60309
U95005,N77400
U95005,N9242
U95005,N76664
U95005,N81066
U95005,N100182
U95005,N61138
U95005,N82497
U95005,N73763
U95005,N9273
U95005,N109498
U95005,N92655
U95005,N111503
U95005,N62360
U95005,N32756
U95005,N103033
U95005,N23898
U95005,N87328
U95005,N50012
U95005,N119238
U95005,N34589
U95005,N36573
U95005,N58729
U95005,N56204
U95005,N61873
U95005,N50377
U95005,N112332
U95005,N46271
U95005,N55064
U95005,N37889
U95005,N59526
U95005,N111585
U95005,N101110
U95005,N124194
U95005,N56640
U95005,N55670
U95005,N129109
U95005,N113678
U95005,N104277
U95005,N111971
U95005,N112303
U95005,N110158
U95005,N46703
U95005,N50720
U95005,N59369
U95005,N55256
U95005,N4001
U95005,N59447
U95005,N102643
U95005,N67820
U95005,N41820
U95005,N116368
U95005,N115294
U95005,N928
U95005,N89289
U95005,N25140
U95005,N41326
U95005,N59547
U95005,N9223
U95005,N99514
U95005,N16510
U95005,N69917
U95005,N104432
U95005,N88075
U95005,N61321
U95005,N110532
U95005,N78026
U95005,N108312
U95005,N13865
U95005,N25624
U95005,N117359
U95005,N98146
U95005,N108016
U95005,N99437
U95005,N47589
U95005,N68107
U95005,N8660
U95005,N126151
U95005,N119717
U95005,N50684
U95005,N123636
U95005,N70848
U95005,N87781
U95005,N57797
U95005,N42798
U95005,N2539
U95005,N108115
U95005,N111339
U95005,N107544
U95005,N47967
U95005,N81058
U95005,N20761
U95005,N34516
U95005,N50831
U95005,N99877
U653041,N3560
U653041,N106218
U653041,N53796
U653041,N115631
U653041,N63089
U653041,N9740
U653041,N18389
U653041,N65336
U653041,N64765
U653041,N26935
U653041,N31043
U653041,N47377
U653041,N104725
U653041,N16608
U653041,N68771
U653041,N58306
U653041,N6229
U653041,N130260
U653041,N90578
U653041,N116779
U653041,N121534
U653041,N112196
U653041,N73122
U653041,N34001
U653041,N74795
U653041,N8082
U653041,N107225
U653041,N105339
U653041,N76970
U653041,N127631
U653041,N92999
U653041,N5638
U653041,N17183
U653041,N8866
U653041,N39187
U653041,N98330
U653041,N8555
U653041,N51302
U653041,N106375
U653041,N125153
U653041,N108319
U653041,N124534
U653041,N129378
U653041,N5947
U653041,N40112
U653041,N121168
U653041,N92474
U653041,N47118
U653041,N24885
U653041,N65275
U653041,N86711
U653041,N41984
U653041,N3435
U653041,N113195
U653041,N113417
U653041,N82348
U653041,N3581
U653041,N73763
U653041,N47866
U653041,N27366
U653041,N29707
U653041,N79285
U653041,N48426
U653041,N67386
U653041,N3948
U653041,N78052
U653041,N100022
U653041,N4012
U653041,N93049
U653041,N123194
U653041,N116747
U653041,N60132
U653041,N52346
U653041,N67350
U653041,N87142
U653041,N25197
U653041,N21550
U653041,N83742
U653041,N101571
U653041,N36538
U653041,N80178
U653041,N46763
U653041,N60457
U653041,N96588
U653041,N28820
U653041,N118005
U653041,N114335
U653041,N79909
U653041,N93543
U653041,N56912
U653041,N94492
U653041,N24968
U653041,N11878
U653041,N112642
U653041,N113678
U653041,N71977
U653041,N14205
U653041,N54393
U653041,N69454
U653041,N9223
U653041,N52677
U653041,N11714
U653041,N114848
U653041,N44265
U653041,N88787
U653041,N87111
U653041,N117891
U653041,N45331
U653041,N83042
U653041,N101845
U653041,N88348
U653041,N38003
U653041,N48111
U653041,N39929
U653041,N29430
U653041,N118153
U653041,N22259
U653041,N91968
U653041,N96000
U653041,N92277
U653041,N108016
U653041,N112731
U653041,N10490
U653041,N42661
U653041,N79926
U653041,N108115
U653041,N81315
U653041,N42494
U653041,N129948
U653041,N106577
U653041,N48451
U653041,N1490
U653041,N92385
U653041,N84423
U653041,N89578
U653041,N35991
U653041,N98042
U653041,N76810
U477073,N31305
U477073,N124989
U477073,N9740
U477073,N104200
U477073,N127175
U477073,N70847
U477073,N26834
U477073,N61319
U477073,N85484
U477073,N128965
U477073,N64765
U477073,N31043
U477073,N26935
U477073,N127659
U477073,N9375
U477073,N63676
U477073,N65119
U477073,N104760
U477073,N27668
U477073,N46786
U477073,N15471
U477073,N112324
U477073,N130269
U477073,N454
U477073,N72571
U477073,N65823
U477073,N14240
U477073,N29446
U477073,N58477
U477073,N58992
U477073,N60882
U477073,N49347
U477073,N73122
U477073,N62401
U477073,N126834
U477073,N38627
U477073,N52842
U477073,N3435
U477073,N92550
U477073,N102743
U477073,N105888
U477073,N83253
U477073,N49262
U477073,N19735
U477073,N82348
U477073,N1940
U477073,N80126
U477073,N4289
U477073,N40228
U477073,N127530
U477073,N18601
U477073,N126602
U477073,N126836
U477073,N22748
U477073,N15899
U477073,N29910
U477073,N102361
U477073,N18399
U477073,N72579
U477073,N88892
U477073,N35737
U477073,N113192
U477073,N50645
U477073,N44524
U477073,N100655
U477073,N3948
U477073,N21880
U477073,N66666
U477073,N23264
U477073,N7234
U477073,N54360
U477073,N104737
U477073,N8991
U477073,N119788
U477073,N110158
U477073,N71977
U477073,N21239
U477073,N98095
U477073,N3285
U477073,N54393
U477073,N114873
U477073,N23666
U477073,N71643
U477073,N91597
U477073,N125961
U477073,N102152
U477073,N73228
U477073,N61321
U477073,N74014
U477073,N58200
U477073,N88592
U477073,N89749
U477073,N75714
U477073,N71648
U477073,N76887
U477073,N42718
U477073,N68745
U477073,N1886
U477073,N18904
U477073,N14979
U477073,N126027
U477073,N58220
U477073,N121652
U477073,N43087
U477073,N1960
U477073,N59936
U477073,N108115
U477073,N81315
U477073,N107322
U477073,N87788
U477073,N14509
U477073,N84423
U477073,N100161
U477073,N67369
U477073,N120643
U477073,N45562
U477073,N85884
U549037,N98611
U549037,N110096
U549037,N37891
U549037,N50434
U549037,N63552
U549037,N88765
U549037,N13337
U549037,N104081
U549037,N112765
U549037,N88392
U549037,N87642
U549037,N112192
U549037,N24454
U549037,N92680
U549037,N8668
U549037,N64208
U549037,N51509
U549037,N103301
U549037,N128643
U549037,N114369
U549037,N104879
U549037,N48295
U549037,N75286
U549037,N9740
U549037,N28568
U549037,N127175
U549037,N30182
U549037,N10478
U549037,N7342
U549037,N38742
U549037,N52652
U549037,N32067
U549037,N26834
U549037,N21689
U549037,N42703
U549037,N85484
U549037,N23058
U549037,N31043
U549037,N63078
U549037,N100405
U549037,N72175
U549037,N16282
U549037,N22262
U549037,N67127
U549037,N94259
U549037,N9375
U549037,N103344
U549037,N65119
U549037,N16416
U549037,N67420
U549037,N15471
U549037,N130269
U549037,N124922
U549037,N4913
U549037,N8308
U549037,N4702
U549037,N72571
U549037,N118038
U549037,N58846
U549037,N80686
U549037,N112790
U549037,N58992
U549037,N112603
U549037,N73122
U549037,N40401
U549037,N42209
U549037,N91944
U549037,N91607
U549037,N29806
U549037,N81899
U549037,N81692
U549037,N76775
U549037,N11849
U549037,N2548
U549037,N32773
U549037,N95797
U549037,N51724
U549037,N128909
U549037,N7391
U549037,N3435
U549037,N127040
U549037,N43428
U549037,N112665
U549037,N62880
U549037,N51964
U549037,N107814
U549037,N102403
U549037,N61138
U549037,N80126
U549037,N127923
U549037,N50614
U549037,N18601
U549037,N92655
U549037,N1698
U549037,N67936
U549037,N51893
U549037,N72579
U549037,N66190
U549037,N98164
U549037,N14121
U549037,N10744
U549037,N77219
U549037,N96616
U549037,N93049
U549037,N30256
U549037,N57945
U549037,N107441
U549037,N23655
U549037,N101423
U549037,N18781
U549037,N48804
U549037,N5143
U549037,N9965
U549037,N71935
U549037,N9864
U549037,N111245
U549037,N72590
U549037,N92091
U549037,N7553
U549037,N118005
U549037,N24786
U549037,N30813
U549037,N91810
U549037,N54360
U549037,N2041
U549037,N67210
U549037,N77734
U549037,N94492
U549037,N104737
U549037,N22188
U549037,N946
U549037,N75132
U549037,N112751
U549037,N110158
U549037,N121845
U549037,N27133
U549037,N15961
U549037,N38027
U549037,N79781
U549037,N100670
U549037,N30152
U549037,N24446
U549037,N51707
U549037,N66044
U549037,N44026
U549037,N48926
U549037,N95249
U549037,N78026
U549037,N26417
U549037,N13865
U549037,N83623
U549037,N108312
U549037,N63923
U549037,N74723
U549037,N106742
U549037,N93769
U549037,N5042
U549037,N68097
U549037,N99797
U549037,N81364
U549037,N104558
U549037,N59033
U549037,N26572
U549037,N10874
U549037,N81043
U549037,N127528
U549037,N106168
U549037,N26863
U549037,N114627
U549037,N40009
U549037,N67497
U549037,N93069
U549037,N34516
U549037,N93366
U549037,N89578
U549037,N22660
U549037,N35493
U549037,N12893
U549037,N31323
U549037,N13972
U549037,N76810
U549037,N119284
U549037,N115958
U224497,N3560
U224497,N28864
U224497,N27038
U224497,N65673
U224497,N26753
U224497,N113326
U224497,N128643
U224497,N8085
U224497,N47323
U224497,N127567
U224497,N5128
U224497,N72493
U224497,N9126
U224497,N116168
U224497,N113547
U224497,N22262
U224497,N26935
U224497,N128965
U224497,N109465
U224497,N120127
U224497,N67779
U224497,N96383
U224497,N31266
U224497,N82799
U224497,N70385
U224497,N9375
U224497,N72802
U224497,N80334
U224497,N454
U224497,N98238
U224497,N91914
U224497,N19937
U224497,N50961
U224497,N36246
U224497,N15515
U224497,N73629
U224497,N42209
U224497,N93363
U224497,N81266
U224497,N58992
U224497,N117275
U224497,N641
U224497,N116367
U224497,N105339
